prot_b210_1ai5.pdb,MNP_1;
prot_b210_1adf.pdb,TAD_1;
prot_b210_1icn.pdb,OLA_133;
prot_dt198_1kdk.pdb,DHT_301;
prot_b210_1qh7.pdb,PCA_1;XYP_1001;
prot_astex_1of6.pdb,MN_1369;DTY_1370;
prot_dt198_3ii0.pdb,PLP_1;
prot_b210_7lpr.pdb,BLE_1;
prot_dt198_1j3j.pdb,CP6_609;
prot_b210_1b9v.pdb,RA2_468;NAG_467;CA_500;CA_501;
prot_b210_1ivb.pdb,NAG_467;ST1_471;CA_500;CA_501;
prot_dt198_1f3a.pdb,GSH_224;
prot_b210_2yhx.pdb,OTG_1;UNK_5;UNK_7;UNK_14;UNK_15;UNK_22;UNK_35;UNK_38;UNK_90;UNK_112;UNK_114;UNK_122;UNK_127;UNK_138;UNK_145;UNK_153;UNK_156;UNK_162;UNK_164;UNK_171;UNK_174;UNK_180;UNK_181;UNK_182;UNK_188;UNK_195;UNK_196;UNK_203;UNK_224;UNK_233;UNK_234;UNK_239;UNK_241;UNK_260;UNK_263;UNK_267;UNK_268;UNK_271;UNK_273;UNK_277;UNK_281;UNK_285;UNK_295;UNK_298;UNK_299;UNK_302;UNK_304;UNK_305;UNK_306;UNK_308;UNK_311;UNK_334;UNK_335;UNK_336;UNK_340;UNK_347;UNK_350;UNK_353;UNK_358;UNK_373;UNK_375;UNK_391;UNK_394;UNK_402;UNK_407;UNK_409;UNK_419;UNK_420;UNK_425;UNK_433;UNK_438;UNK_441;UNK_447;UNK_448;UNK_450;UNK_452;UNK_453;UNK_456;UNK_457;
prot_dt198_1lj5.pdb,DMS_401;DMS_402;DMS_403;DMS_404;
prot_b210_1poc.pdb,GEL_420;CA_501;
prot_b210_1mfc.pdb,GAL_521;MAN_522;ABE_523;RAM_524;
prot_dt198_1hwl.pdb,FBI_2;
prot_b210_1mts.pdb,CA_480;BX3_999;
prot_dt198_2f8z.pdb,ZOL_5001;
prot_astex_1q1g.pdb,SO4_401;IOH_501;IOH_502;MTI_301;
prot_b210_1qcf.pdb,PTR_527;PP1_532;
prot_dt198_1jr1.pdb,MOA_1332;
prot_dt198_2f89.pdb,210_9001;
prot_dt198_1xj7.pdb,DHT_931;
prot_dt198_1w6f.pdb,ISZ_1276;
prot_astex_1n1m.pdb,NAG_85;FUC_1085;NAG_2085;NAG_150;FUC_1150;NAG_2150;NAG_219;NAG_2219;NAG_229;NAG_2229;MAN_3229;NAG_281;NAG_2281;NAG_321;NAG_2321;NAG_520;HG_950;HG_951;A3M_954;
prot_b210_1a0q.pdb,HEP_4;
prot_b210_1did.pdb,MN_398;MN_399;DIG_400;
prot_b210_6rsa.pdb,UVC_1;
prot_dt198_1bj4.pdb,PLP_500;
prot_b210_1bap.pdb,ARA_1;ARB_2;
prot_dt198_3jdw.pdb,ORN_500;
prot_dt198_2fy3.pdb,CHT_2000;
prot_b210_3dfr.pdb,NDP_1;MTX_2;
prot_astex_1opk.pdb,MYR_1;GOL_3;P16_2;
prot_b210_1dhf.pdb,FOL_187;
prot_b210_1cbx.pdb,BZS_500;
prot_b210_1ase.pdb,NOP_258;MAE_410;
prot_dt198_1tgm.pdb,AIN_202;
prot_dt198_1r4w.pdb,GSH_301;
prot_b210_2aad.pdb,2GP_105;2GP_105;
prot_b210_1cqp.pdb,MG_201;803_301;803_302;
prot_dt198_3e77.pdb,PLP_400;
prot_b210_5p21.pdb,GNP_167;MG_168;
prot_b210_3hvt.pdb,NEV_1;
prot_b210_4lbd.pdb,961_1;
prot_b210_1mup.pdb,TZL_167;CD_201;CD_202;CD_203;CD_204;
prot_b210_2tsc.pdb,UMP_1;CB3_2;UMP_1;CB3_2;
prot_dt198_3h6t.pdb,CYZ_265;
prot_b210_1mbi.pdb,HEM_154;IMD_155;
prot_dt198_2xat.pdb,CLM_301;
prot_astex_1sg0.pdb,ZN_231;FAD_433;STL_501;
prot_dt198_1f17.pdb,NAI_350;
prot_b210_1xid.pdb,ASC_389;MN_390;MN_391;
prot_b210_4cts.pdb,OAA_1;
prot_b210_2gbp.pdb,GLC_310;CA_312;
prot_b210_1anf.pdb,GLC_371;GLC_372;
prot_b210_1a42.pdb,HG_362;BZO_555;
prot_dt198_6pah.pdb,DAH_600;
prot_dt198_3dk8.pdb,GSH_481;GSH_482;
prot_astex_1t46.pdb,PO4_4;PO4_5;STI_3;
prot_dt198_1xe8.pdb,ADE_500;
prot_astex_1tow.pdb,CRZ_501;
prot_dt198_1s2d.pdb,ADE_1245;
prot_dt198_2hgs.pdb,GSH_503;
prot_dt198_1jh8.pdb,ADE_999;
prot_b210_1mrk.pdb,FMC_300;
prot_dt198_1pj2.pdb,NAI_601;NAI_602;
prot_b210_1stp.pdb,BTN_300;
prot_b210_1snc.pdb,CA_142;PTP_143;
prot_astex_1r55.pdb,ZN_201;NAG_510;NAG_511;MAN_512;MAN_513;MAN_514;CA_402;CL_403;CL_404;097_301;
prot_dt198_1w0g.pdb,MYT_1499;
prot_astex_1hwi.pdb,ADP_101;115_1;
prot_b210_2gpb.pdb,GLC_910;PLP_999;
prot_dt198_1m17.pdb,AQ4_999;
prot_astex_1jla.pdb,CSD_280;TNK_999;
prot_dt198_3cla.pdb,CLM_221;
prot_dt198_2obv.pdb,SAM_501;
prot_b210_4xia.pdb,MG_399;SOR_400;
prot_b210_1a6w.pdb,NIP_430;
prot_b210_1gpy.pdb,G6P_998;PLP_999;
prot_b210_1e96.pdb,GTP_200;MG_201;
